# g ma[MeV] Ea[MeV] dNdEdtKSVZ[adimensional]
2.e-6 5.75e0 1.01038e2 2.18844e32
2.e-6 5.75e0 1.02038e2 2.03696e32
2.e-6 5.75e0 1.03038e2 1.88324e32
2.e-6 5.75e0 1.04038e2 1.73293e32
2.e-6 5.75e0 1.05038e2 1.59276e32
2.e-6 5.75e0 1.06038e2 1.4644e32
2.e-6 5.75e0 1.07038e2 1.36683e32
2.e-6 5.75e0 1.08038e2 1.28633e32
2.e-6 5.75e0 1.09038e2 1.21064e32
2.e-6 5.75e0 1.10038e2 1.13972e32
2.e-6 5.75e0 1.11038e2 1.0731e32
2.e-6 5.75e0 1.12038e2 1.01139e32
2.e-6 5.75e0 1.13038e2 9.53318e31
2.e-6 5.75e0 1.14038e2 8.95092e31
2.e-6 5.75e0 1.15038e2 8.41185e31
2.e-6 5.75e0 1.16038e2 7.89451e31
2.e-6 5.75e0 1.17038e2 7.51187e31
2.e-6 5.75e0 1.18038e2 7.22565e31
2.e-6 5.75e0 1.19038e2 6.97518e31
2.e-6 5.75e0 1.20038e2 6.73523e31
2.e-6 5.75e0 1.21038e2 6.50426e31
2.e-6 5.75e0 1.22038e2 6.21969e31
2.e-6 5.75e0 1.23038e2 5.89228e31
2.e-6 5.75e0 1.24038e2 5.57993e31
2.e-6 5.75e0 1.25038e2 5.28697e31
2.e-6 5.75e0 1.26038e2 5.00971e31
2.e-6 5.75e0 1.27038e2 4.74839e31
2.e-6 5.75e0 1.28038e2 4.50182e31
2.e-6 5.75e0 1.29038e2 4.26766e31
2.e-6 5.75e0 1.30038e2 4.04719e31
2.e-6 5.75e0 1.31038e2 4.2121e31
2.e-6 5.75e0 1.32038e2 5.3384e31
2.e-6 5.75e0 1.33038e2 5.9725e31
2.e-6 5.75e0 1.34038e2 6.41309e31
2.e-6 5.75e0 1.35038e2 6.68362e31
2.e-6 5.75e0 1.36038e2 2.01916e31
2.e-6 5.75e0 1.37038e2 6.44131e30
2.e-6 5.75e0 1.38038e2 3.10315e30
2.e-6 5.75e0 1.39038e2 1.71736e30
2.e-6 5.75e0 1.40038e2 1.02419e30
2.e-6 5.75e0 1.41038e2 6.41165e29
2.e-6 5.75e0 1.42038e2 4.16724e29
2.e-6 5.75e0 1.43038e2 2.78914e29
2.e-6 5.75e0 1.44038e2 1.91321e29
2.e-6 5.75e0 1.45038e2 1.34041e29
